dodane-data,id,title,category-tree-item,user-profile-link,filters,description,pay_low,pay_high,pay_currency,pay_period,Lokalizacja,Wymiar pracy,Typ umowy,user-profile-link-hash
Dodane Dzisiaj o 13:12,ID: 690626181,Ślusarz Sosnowiec,Strona główna/Praca/Produkcja/Obsługa produkcji/Obsługa produkcji - Śląskie/Obsługa produkcji - Sosnowiec,/oferty/uzytkownik/113HIu/,Doświadczenie nie jest wymagane/Praca zmianowa,"OpisZakres obowiązków:·      Obsługa elektronarzędzi, szlifowanie elementów·      Przygotowanie elementów do wysyłki·      Kontrola wykonywanych detaliOczekiwania:·      Wykształcenie minimum zawodowe·      Gotowość do pracy w systemie zmianowym·      Rzetelność i dokładność w wykonywaniu obowiązków·      Umiejętność pracy w zespole·      Czystość na stanowisku pracy, kultura osobista·      Mile widziane uprawnienia do obsługi wózka widłowego i/lub suwnicy z poziomu 0Oferujemy:·      Umowę o pracę·      Atrakcyjne, stałe wynagrodzenie·      Możliwość rozwoju zawodowegoSkontaktujemy się tylko z wybranymi kandydatami.Prosimy o dopisanie następującej klauzuli: „Wyrażam zgodę na przetwarzanie moich danych osobowych dla potrzeb niezbędnych dla realizacji procesu rekrutacji (zgodnie z ustawą z dn. 29.08.97 roku o ochronie danych osobowych Dz.U Nr 133 poz. 883)”.",,,,,Sosnowiec,Pełny etat,Umowa o pracę,212627556146433873
Dodane Dzisiaj o 13:40,ID: 832836789,Młodszy Specjalista ds. sprzedaży zagranicznej/eksportu,"Strona główna/Praca/Sprzedaż/Doradca klienta, sprzedawca/Doradca klienta, sprzedawca - Śląskie/Doradca klienta, sprzedawca - Rybnik",/oferty/uzytkownik/25WrN/,Odpowiednie doświadczenie zawodowe,"INNPRO - Next generation value-added distributionW INNPRO zajmujemy się kompleksową dystrybucją produktów technologicznych na rynku polskim i zagranicznym. Mamy ponad 10-letnie doświadczenie w branży. Obecnie zatrudniamy ponad 250 osób w sześciu oddziałach w Polsce i oddziałach zagranicznych.W naszej ofercie można znaleźć produkty z kategorii audio, małe AGD, GSM, smart home, foto/wideo, IT i wielu innych. Współpracujemy z ponad dwoma tysiącami partnerów, w tym z największymi sieciami handlowymi.Jesteśmy jedną z najszybciej rozwijających się firm w naszym województwie. Każdego roku poszerzamy asortyment i otwieramy się na nowe rynki. W ślad za dynamicznym rozwojem prowadzimy stałe rekrutacje do niemal wszystkich naszych działów i zespołów.Ponad 91% osób rozpoczynających z nami współpracę zostaje z nami na dłużej.Twój zakres obowiązków:Utrzymywanie relacji biznesowych z obecnymi partnerami zagranicznymi, głównie w UE,Poszukiwanie nowych partnerów handlowych,Prowadzenie rozmów handlowych i negocjacji,Obsługa klienta hurtowego drogą mailową i telefoniczną,Obsługa wewnętrznych systemów firmowych,Współpraca z zespołem handlowym.Nasze wymagania: Minimum roczne doświadczenie w handlu zagranicznym,Bardzo dobra znajomość języka angielskiego w mowie i piśmie (weryfikujemy to podczas rozmowy rekrutacyjnej),Wysoka kultura osobista,Dodatkowym atutem będzie znajomość innych języków obcych,Łatwość w budowaniu i utrzymywaniu długotrwałych relacji z klientem,Swobodne poruszanie się w internecie,Umiejętność samodzielnego rozwiązywania problemów.Co oferujemy:umowa o pracę,profesjonalne wdrożenie od pierwszego dnia pracy,przyjazna atmosfera w młodym zespole,możliwość rozwoju i zdobycie doświadczenia w obszarze handlu zagranicznegopracę stacjonarną w biurze w Rybniku od poniedziałku do piątku w godzinach 8:00-16:00.Benefity:program kart Medicover Sport,sportowe wtorki (rozgrywki siatkówki),imprezy integracyjne,zniżka pracownicza na produkty z oferty INNPRO,owocowe wtorki,paczki świąteczne,Program Poleceń Pracowniczych,możliwość dołączenia do ubezpieczenia grupowego,możliwość przystąpienia do Pracowniczego Planu Kapitałowego (rządowy program długoterminowego oszczędzania),darmowy parking dla pracowników,najlepsza kawa w mieście.Więcej o nas i naszych markach znajdziesz na innpro.pl.Zastrzegamy sobie prawo do kontaktu tylko na wybrane zgłoszenia.Aplikując na to ogłoszenie jesteś brany/a pod uwagę jedynie pod kątem niniejszego stanowiska. Jeśli chcesz zwiększyć swoje szanse zaaplikuj także na inne.Obowiązek informacyjny RODO: Administratorem Państwa danych osobowych zawartych w CV będzie INNPRO Robert Błędowski Sp. z o.o. z siedzibą w Rybniku, email: dane.osobowe(at)innpro.pl, tel. 88*******30 („Administrator""). Administrator przetwarza Państwa dane osobowe w celu prowadzenia rekrutacji na aplikowane stanowisko, zgodnie z RODO i Kodeksem pracy. Szczegółowa klauzula informacyjna dot. przetwarzania przez Administratora danych osobowych kandydatów do pracy dostępna jest pod adresem: www.innpro.pl/polityka-prywatnosci/ Przesyłając do nas CV potwierdzają Państwo zapoznanie się z jej treścią. Jeśli CV zawiera Państwa zdjęcie lub inne dane szczególnych kategorii, o których mowa w art. 9 ust. 1 RODO, prosimy o zamieszczenie w zgłoszeniu rekrutacyjnym oświadczenia o następującej treści: „Wyrażam zgodę na przetwarzanie przez INNPRO Robert Błędowski Sp. z o.o. z siedzibą w Rybniku szczególnych kategorii danych osobowych, o których mowa w art. 9 ust. 1 Ogólnego Rozporządzenia o Ochronie Danych (RODO), zawartych w moim zgłoszeniu rekrutacyjnym w celu przeprowadzenia postępowania rekrutacyjnego”.Jeśli wyrażają Państwo zgodę na udział w kolejnych rekrutacjach, prosimy o zawarcie w CV dodatkowo oświadczenia: ""Wyrażam zgodę na przetwarzanie przez INNPRO Robert Błędowski Sp. z o.o. z siedzibą w Rybniku moich danych osobowych zawartych w zgłoszeniu rekrutacyjnym, dla potrzeb przyszłych rekrutacji"".",4440,4800,zł, mies. brutto,Rybnik,Pełny etat,Umowa o pracę,4671537777404356723
Dodane Dzisiaj o 12:21,ID: 659538795,Monter mebli na wymiar- wyjazdy do NIEMIEC,Strona główna/Praca/Pozostałe oferty pracy/Pozostałe oferty pracy - Dolnośląskie/Pozostałe oferty pracy - Kamieniec Wrocławski,/oferty/uzytkownik/4L0XC/,Odpowiednie doświadczenie zawodowe/Elastyczny czas pracy,"POLBAUSCHRANK firma z branży meblarskiej działająca od 10 lat na rynku niemieckim poszukuje do zespołu we Wrocławiu 1 osoby na stanowisko: Monter Mebli na wymiar z językiem niemieckim lub angielskim – montaż mebli w zabudowie – wyjazdy do NiemiecPraca polega na:montażu mebli na wymiar,przygotowywaniu i wysyłaniu zamówień na materiały do montażu,prowadzeniu auta dostawczego – 2-4 dniowe wyjazdy do Niemiec w każdym tygodniu,załadunku i rozładunku materiałów,komunikacji z klientami w języku niemieckim lub angielskim,załatwieniu odbioru mebli przez klienta po montażu i przekazanie klientowi faktury,współpracy z szefem i klientami w koordynacji planu montażu,terminowej i rzetelnej realizacji planu montażu,dbaniu o dobry stan techniczny i czystość auta dostawczego,realizacji niezbędnego serwisu auta dostawczego w zakładach mechanicznych,Wymagania:doświadczenie w montażu mebli w zabudowie (również w Polsce)dobra znajomość języka angielskiego lub niemieckiego w mowie i piśmie,prawo jazdy Kategoria B,dobra komunikatywność,gotowość do częstych 2-4 dniowych wyjazdów do Niemiec,terminowość, rzetelność, zaangażowanie,siła fizyczna, odporność na zmęczenie,znajomość pakietu OfficeMile widziane:pozytywne myślenie i dobry humor,wyobraźnia przestrzenna,wykształcenie średnieZALEŻY NAM :na długotrwałej współpracy i obustronnym zadowoleniu - tempo, jakość pracy, relacje i zarobki,Oferujemy:stabilne zatrudnienie - umowa o pracę,DOBRE wynagrodzenie adekwatne do efektywności i zaangażowania,",6000,12000,zł, mies. brutto,Kamieniec Wrocławski,Pełny etat,Umowa o pracę,-1067941746190252914
Dodane Dzisiaj o 11:36,ID: 836060763,spedytor / dyspozytor transport Opole,"Strona główna/Praca/Logistyka, zakupy, spedycja/Spedycja/Spedycja - Opolskie/Spedycja - Opole",http://kano.olx.pl,Odpowiednie doświadczenie zawodowe,"Firma KANO SP. Z O.O , to rodzinna firma transportowo - spedycyjna która działa na rynku od ponad 30 lat. Dzięki jakości świadczonych usług, oraz profesjonalnemu podejściu do Klienta wyrobiła sobie miano wiarygodnego partnera biznesowego.Swój sukces zawdzięcza ciągłemu doskonaleniu procesów, oraz profesjonalnym podejściu do pracownika i dbaniu o jego interesy. W związku z rozwojem działalności poszukujemy spedytorów oraz dyspozytorów transportu międzynarodowego.Główne zadania i obowiązki:planowanie i kontrola tras kierowców przy pomocy oprogramowania TMS oraz Telematyki,organizacja transportu oraz nadzór nad jego przebiegiem,utrzymanie wysokiej jakości świadczonego zakresu usług,zarządzanie transportem, analizowanie wydajności procesów transportowych, rekomendowanie usprawnień.Oczekiwania :minimum rok doświadczenia na stanowisku dyspozytora lub spedytora międzynarodowego,samodzielność, motywacja i dobra organizacja pracy,umiejętności planowania, negocjacji, zdolność podejmowania decyzji,znajomość języka niemieckiego w stopniu komunikatywnym w mowie i w piśmie (warunek konieczny)mile widziany język Ukraiński lub Rosyjski,znajomość czas pracy kierowcy, oraz podstawowych zagadnień prawa transportowego,podstawowa znajomość oprogramowania biurowego - MS Office , OutlookOferujemy :prace w firmie o stabilnej pozycji na rynku,zatrudnienie w oparciu o umowę o pracę na okres próbny, a następnie umowę na czas nieokreślony,nowoczesne i zaawansowane technologicznie narzędzia do realizacji powierzonych obowiązków - (Telematyka oraz oprogramowanie klasy TMS) , możliwość rozwoju oraz spełniania się zawodowo.W naszej firmie pracuje obecnie 140 osób , nie szukamy pracowników na kilka miesięcy lecz na lata.Jeżeli kręci Cię transport oraz spedycja, i chcesz dołączyć do naszego zespołu ,oraz rozpocząć pracę w nowoczesnym biurze z wszelkimi udogodnieniami( tak, mamy darmową kawę :-) ) , to zadzwoń lub wyślij swoje CV.Może szukamy właśnie Ciebie ?W aplikacji prosimy o umieszczenie następującej klauzuli : Wyrażam zgodę na przetwarzanie moich danych osobowych dla potrzeb niezbędnych do realizacji procesu rekrutacji, w firmie KANO SP.Z.O.O, zgodnie z Rozporządzeniem Parlamentu Europejskiego i Rady (UE) 2016/679 z dnia 27 kwietnia 2016 r. w sprawie ochrony osób fizycznych w związku z przetwarzaniem danych osobowych i w sprawie swobodnego przepływu takich danych oraz uchylenia dyrektywy 95/46/WE (RODO)",,,,,Opole,Pełny etat,Umowa o pracę,1988813165261682057
Dodane 15 maja 2023,ID: 509553168,Kierowca TAXI Uber Bolt Прийму на работу Оренда от 500 злотых,Strona główna/Praca/Kierowca/Kierowca - Pomorskie/Kierowca - Gdańsk/Kierowca - Śródmieście,/oferty/uzytkownik/iBeKc/,Prawo jazdy: Kat. B/Zasięg transportu: Tylko krajowy/Doświadczenie nie jest wymagane,"Прийму на работу водителя Uber i Bolt в Труймясте. Оренда от 500 злотых.Новые машины на газу,  Предоставляем работу в такси Uber и Bolt. г.Гданьск Предлагаем: - НОВЫЕ автомобили 2019-2022 года. - Автомобиль закреплён за вами на весь период работы. Требования к кандидатам: - ЖЕЛАНИЕ РАБОТАТЬ. - Опрятный :внешний вид. - Возраст от 20-ти лет. - Права категории В. - Стаж вождения от 1-го года. - Биометрический паспорт, польская виза (помогаем сделать) или карта побыту. - Наличие смартфона или планшета. - Справка о несудимости в Польше (помогаем сделать) . - Знание польского приветствуется, но не обязательное. По интересующим Вас вопросам звоните или пишите.

Для иностранцев сделаем все документы для легального прибывания и трудоустройства.
Консультация бесплатная.

579_320_461 Ukraina Ihor
 

Praca dla kierowców TAXI UBER i  BOLT i FREE NOW całe Trojmiasto , Ponad 80 nowych Aut na gaz Skoda, Kia, Fiat, Toyota.
Nowe auta na gaz podpięcie konta u Największego Partnera w Trójmieście z licencją TAXI , rozliczenia co tydzień 
Możliwość wynajęcia auta,
Karty rabatowo-paliwowe, wyrabiamy identyfikator kierowcy i wypisy taxi, 
Brak dodadkowych opłat za podpięcie
 Chcesz założyć konto kierowcy? zadzwoń, 

579_320_461 Ukraina Ihor
502_048_799 Polska Krzysztof",5000,10000,zł, mies. brutto,"Gdańsk, Śródmieście",Pełny etat,Inny,3175353668196879962
Dodane 12 maja 2023,ID: 828894949,"Docieplenia elewacji, tynkowanie - wysokie zarobki",Strona główna/Praca/Praca za granicą/Praca za granicą - Śląskie/Praca za granicą - Częstochowa/Praca za granicą - Wyczerpy - Aniołów,/oferty/uzytkownik/qvXuG/,Kraj: Belgia/Odpowiednie doświadczenie zawodowe,"Poszukiwany pracownik tynkowania i docieplenia elewacji do BelgiiPracownik ogólnobudowlany – docieplenia elewacji, tynkowanie• Doświadczenie zawodowe na w/w. stanowisku.• Wykonywanie dociepleń budynków jedno- i wielorodzinnych• Duży Plus: Znajomość komunikatywna języka angielskiego lub języka niemieckiego• Umiejętność pracy w zespole.• Dobry stan zdrowia i siła fizyczna.• Mile widziane: prawo jazdy kat. B.• Braku uzależnień od alkoholu oraz używek.NASZA FIRMA OFERUJE:• Długofalowa i stała współpraca• Zatrudnienie na umowie o pracę• Bezpłatne i zapewnione zakwaterowanie w Belgii• Zjazdy wg grafiku• Samochód służbowy• System wynagrodzeń uzależniony od kwalifikacji + dodatek za kierowanie• Stały kontakt z polskojęzyczną kadrą• Kandydatów prosimy o przesyłanie CV lub kontakt telefoniczny• Informujemy, że skontaktujemy się z wybranymi kandydatami.",20000,24000,zł, mies. brutto,"Częstochowa, Wyczerpy - Aniołów",Pełny etat,Umowa o pracę,-6686688020560101058
Dodane Dzisiaj o 13:12,ID: 681437783,Pracownik produkcji / stolarz tworzyw sztucznych Plast-Form Płońsk,Strona główna/Praca/Produkcja/Obsługa produkcji/Obsługa produkcji - Mazowieckie/Obsługa produkcji - Płońsk,/oferty/uzytkownik/2qr7x/,Doświadczenie nie jest wymagane/Praca zmianowa/🇺🇦 Польська мова не обов'язкова (Jęz. polski niewymagany),"Firma Plast-Form ma ugruntowaną pozycję na rynku - działamy od 1993 roku.Specjalizujemy się w produkcji elementów z tworzyw sztucznych, termoplasty, duroplasty, elastomery i gumy,głownie plexi (akryl) i poliweglany oraz tworzywa inżynieryjne i konstrukcyjne.Do Twoich obowiązków będzie należało:czytanie dokumentacji produkcyjnejobsługa frezarki i piłyobsługa giętarki termicznejklejenie elementówszlifowanie i polerowanieutrzymanie porządku na stanowisku pracykontrola wykonanych elementówMożliwa nauka obługi CNC - Cięcie i frezowanie CNC, cięcie laserem.Oferowana praca w zakładzie produkcyjnym w Płońsku ul. Pułtuska obok dużego targu.Oferujemy:ciekawe zróżnicowane projekty dla dużych międzynarodowych firmfajna zgrana ekipa, dobra niekorporacyjna atmosfera pracypraca jedno / dwu lub trzy zmianowa / wolne weekendyregularne wypłatystabilna długofalowa współpracawdrożenie na stanowisko i szkolenie z obsługi maszyn i technologiiOczekujemy:chęć do pracy i zaangażowaniedobra samoorganizacja pracydokładność i sumiennośćuczciwośćpraca zespołowa / komunikatywnośćznajomość rys. tech. i czytanie dokumentacjiZakres obowiązków:obłsuga elektronarzędzi oraz prace manualne (klejenie, gięcie)opcjonalnie obsługa plotera CNC (frezarka) oraz/lub innych maszyn np laserkontrola jakości wykonanych elementówutrzymanie porządku na stanowisku pracydbanie o powierzone narzędzia i maszynyzachowanie obowiązujących standardów jakościowychZapraszamy serdecznie do przesyłania CV na adres mailowy rekrutacja (małpa) plastform.plPreferowana forma kontaktu droga mailową lub poprzez wiadomość na OLX.",3490,4750,zł, mies. brutto,Płońsk,Pełny etat,Umowa o pracę,8633927765785123620
Dodane 19 maja 2023,ID: 836769681,Kierownik magazynu,Strona główna/Praca/Prace magazynowe/Prace magazynowe - Wielkopolskie/Prace magazynowe - Oborniki,/oferty/uzytkownik/2xf1P/,Odpowiednie doświadczenie zawodowe,"Poszukujemy osoby na stanowisko magazyniera z obsługą dokumentów przyjęcia towarów. Konieczne uprawnienia na wózek widłowy. Mile widziane doświadczenie w pracy z programem Subiekt GT, Praca na pełen etat na UoP. ",,,,,Oborniki,Pełny etat,Umowa o pracę,1473110309224391508
Dodane Dzisiaj o 13:28,ID: 830039534,Operator prasy krawędziowej CNC,Strona główna/Praca/Produkcja/Obsługa produkcji/Obsługa produkcji - Zachodniopomorskie/Obsługa produkcji - Szczecin/Obsługa produkcji - Bukowe,/oferty/uzytkownik/51vpA/,Doświadczenie nie jest wymagane/Praca zmianowa,"Firma GP Sp. z o.o. z siedzibą w Szczecinie /prawobrzeże/ posiada wieloletnią tradycję w wielu dziedzinach produkcji i usług. Oferta firmy obejmuje plastyczną obróbkę metali oraz przetwórstwo tworzyw sztucznych przy zastosowaniu najnowocześniejszych technologii. Specjalizujemy się w produkcji systemów zabezpieczeń drogowych, stalowych konstrukcji budowlanych, a także elementów do przemysłu motoryzacyjnego. Poszukujemy pracowników na stanowisko: Operator prasy krawędziowej - również do przyuczenia. Oferujemy:- stabilne zatrudnienie;- atrakcyjne wynagrodzenie,- pracę w firmie o ugruntowanej pozycji na rynku;- praca w dynamicznym zespole;- możliwość podnoszenia kwalifikacji zawodowych; Wymagania:- pracy w systemie dwuzmianowym;- umiejętność czytania rys. technicznego;- umiejętność programowania maszyn CNC lub otwartość na szkolenia- umiejętność wykonywania pomiarów narzędziami pomiarowymi- chęć do pracy i dalszego rozwoju- doświadczenie zawodowe na podobnym stanowisku; ",,,,,"Szczecin, Bukowe",Pełny etat,Umowa o pracę,-6550454307907614248
Dodane Dzisiaj o 13:52,ID: 834461875,"Praca przy k/g, malowanie, gładzie",Strona główna/Praca/Budowa / remonty/Budowa / remonty - Mazowieckie/Budowa / remonty - Piastów,/oferty/uzytkownik/QR3EM/,Odpowiednie doświadczenie zawodowe,"Zatrudnię osoby do prac wykończeniowych monterów GK, szpachlarzy, płytkarzy tylko doświadczone osoby praca przy zleceniach prywatnych tj. stany deweloperskie, prywatne posesje, mieszkania, domy na terenie Warszawy, biura oraz użyteczności publicznej. umiejętności :zabudowy katon- gips ( ścianki, sufity, konstrukcje, klejonki szpachlowanie / docieranie / malowanie. Poszukujemy osoby z doświadczeniem i samodzielne na stanowisku pracy bez nałogów. Atrakcyjne stawki godzinowe zależne od umiejętności lub możliwość rozliczania się od całości zlecenia czy zakresu.Stawka godzinowa 30 zł/h",25,50,zł, godz. brutto,Piastów,Pełny etat,Umowa zlecenie,6156923921341023123
Dodane Dzisiaj o 13:48,ID: 837041562,Praca Niemcy  Monachium 6200 PLN DO 12000 PLN,Strona główna/Praca/Praca za granicą/Praca za granicą - Śląskie/Praca za granicą - Katowice/Praca za granicą - Koszutka,/oferty/uzytkownik/1tDWrM/,Kraj: Niemcy/Doświadczenie nie jest wymagane/Elastyczny czas pracy/Rekrutacja online,"Jesteś ambitny, pracowity, lubisz pracę w grupie i znasz język NIEMIECKI to zadzwoń !

Praca Drezno 

Poszukujemy 20 osób 

Praca lekka i przyjemna w grupie 4 osobowej.
3 tygodnie w Niemczech 1 tydzień wypoczynku w Polsce. 
Zarobki stała pensja za 3 tygodnie 6200 zł 
Plus premie dochodzące do 12000 zł. 
Praca przy roznoszeniu katalogów dla naszych nowych klientów. 
Oferujemy 
Samochód służbowy do dyspozycji grupy.
Mieszkanie 4 osobowe 
Transport do Niemiec i spowrotem. 
Szkolenie przez polskich trenerów. 
Wszystkie koszty ponosi pracodawca, my.
0 dodatkowych kosztów 

Zainteresowanych proszę o kontakt.",6200,12000,zł, mies. brutto,"Katowice, Koszutka",Pełny etat,Umowa zlecenie,-6382280131290916796
Dodane Dzisiaj o 13:04,ID: 720796362,"Zatrudnimy fizjoterapeutki, masażystki, techników masażu, kosmetologa,",Strona główna/Praca/Zdrowie/Rehabilitacja i masaż/Rehabilitacja i masaż - Wielkopolskie/Rehabilitacja i masaż - Poznań/Rehabilitacja i masaż - Piątkowo,/oferty/uzytkownik/2OZwz/,Doświadczenie nie jest wymagane,"Centrum Urody i Fitnessu w Poznaniu zatrudni Panie na stanowisko , Kosmetologa, Kosmetyczki, Fizjoterapeutki, Masażystki, Technika Masażu do wykonywania zabiegów. Mile widziane osoby uczące się zaocznie i w trybie dziennym. CV wraz ze zdjęciem prosimy przesyłać na adres e-mail.",,,,,"Poznań, Piątkowo",Pełny etat,Umowa zlecenie,-2398162285773701135
Dodane Dzisiaj o 11:40,ID: 807704500,"RTV EURO AGD, Doradca Klienta - Zgorzelec","Strona główna/Praca/Sprzedaż/Doradca klienta, sprzedawca/Doradca klienta, sprzedawca - Dolnośląskie/Doradca klienta, sprzedawca - Zgorzelec",http://euro.olx.pl,Doświadczenie nie jest wymagane,"Jesteśmy polską firmą od ponad 30 lat działającą na rynku sprzedaży sprzętu elektronicznego i sprzętu gospodarstwa domowego. W ramach naszej organizacji funkcjonuje ogólnopolska Sieć Sklepów RTV EURO AGD, największy sklep internetowy w Polsce i Contact Center. Naszą sprzedaż wspiera ogólnopolska Sieć Transportu, Magazyny Centralne i lokalne Centra Logistyczne w całym kraju.Obecnie do naszego zespołu poszukujemy: Doradcy KlientaMiejsce pracy: Zgorzelec Zobacz, co zyskujesz pracując z nami:- zatrudnienie na podstawie umowy o pracę,- wynagrodzenie podstawowe oraz premię bez limitu – zależną od wyników sprzedaży,- prywatną opiekę medyczną finansowaną przez pracodawcę,- współfinansowanie benefitów pracowniczych (w tym karty MultiSport) oraz konkursy dla pracowników i ich rodzin,- rozwinięty system szkoleń (wstępnych, producenckich, sprzedażowych i menedżerskich),- jasną i przejrzystą ścieżkę awansu,- wsparcie merytoryczne doświadczonego zespołu,- przyjazną atmosferę pracy w zespole profesjonalistów.Na czym będzie polegała Twoja praca? Jako ekspert doradzasz Klientom przy wyborze sprzętów i produktów z branży RTV/AGD. Dbasz o porządek na sali sprzedaży oraz o odpowiednią ekspozycję towaru. Tworzysz firmę będącą liderem w swojej branży!Jesteś tym, kogo szukamy, jeśli:- łatwo nawiązujesz kontakty i lubisz pracę z ludźmi,- chętnie się uczysz i jesteś gotowy dzielić się wiedzą z innymi,- angażujesz się w powierzone zadania i można na Tobie polegać.",,,,,Zgorzelec,Pełny etat,Umowa o pracę,-5687027173866600275
Dodane Dzisiaj o 13:32,ID: 837038566,Hostessa/host Gdańsk 300 zl na rękę,"Strona główna/Praca/Hostessa, roznoszenie ulotek/Hostessa, host/Hostessa, host - Wielkopolskie/Hostessa, host - Swarzędz",/oferty/uzytkownik/PuzZ/,Doświadczenie nie jest wymagane,"Firma poszukuje osoby w wieku 18-30 lat do pracy jako hostessa/host - wymagana aktualna książeczka Sanepid. Praca będzie polegać na obsłudze wyciskarki do soków- obieranie i krojenie owoców, wkładanie ich do wyciskarki, utrzymywanie miejsca pracy w czystości. Praca będzie trwała 5,5 h. Termin - 23 maja 2023 Godziny pracy: 8.30- 14.00. Miejsce: parking przed siedzibą PKN ORLEN (dawny Lotos), ul. Elbląska 135, Gdańsk. Stawka: 300 zl na rękę. Wymagana książeczka Sanepid! Forma zatrudnienia: umowa zlecenie. Preferowani studenci i studentki. Prosimy o przemyślane zgłoszenia - tylko jeśli faktycznie masz wtedy czas i faktycznie chcesz pracować! Prosimy wysyłać cv z aktualnym foto przez OLX Prosimy nie dzwonić. Skontaktujemy się z wybranymi osobami",50,55,zł, godz. brutto,Swarzędz,Dodatkowa / sezonowa,Umowa zlecenie,8077114697887553892
Dodane Dzisiaj o 12:28,ID: 831401909,"Zatrudnimy szwaczki, prasowacza, prasowaczkę",Strona główna/Praca/Produkcja/Obsługa produkcji/Obsługa produkcji - Łódzkie/Obsługa produkcji - Łódź/Obsługa produkcji - Bałuty,http://jscp.olx.pl,Odpowiednie doświadczenie zawodowe,"Dołącz do naszego Zespołu!Jesteśmy polską firmą z dużym doświadczeniem i bogatą tradycją w projektowaniu, konstrukcji oraz produkcji odzieży dla najbardziej znanych europejskich marek. Gwarantujemy wysokie standardy zatrudnienia, przyjazną atmosferę i bezpieczną pracę w nowocześnie wyposażonej szwalni, w dobrej lokalizacji w Łodzi! (Polska)Obecnie szukamy osób na następujące stanowiska:SZWACZKI (konfekcja damska; tkanina i dzianina) = 4500-8000 zł/mies.PRASOWACZ/PRASOWACZKA = 3500-4500 zł/mies.Oferujemy:stabilne zatrudnienie na umowę o pracę,pracę w systemie jednozmianowym,nowoczesny sprzęt i park maszynowy,komfortowe zaplecze socjalne,ubezpieczenie grupowe,dobrą lokalizację blisko dworca Łódź Żabieniec.Jeśli moda i tworzenie odzieży to Twoja pasja, chcesz się rozwijać w polskiej firmie, gdzie panuje rodzinna atmosfera, a rzetelna praca jest doceniana, koniecznie zgłoś się do nas!Czekamy na Ciebie!",4500,8000,zł, mies. brutto,"Łódź, Bałuty",Pełny etat,Umowa o pracę,8482254599954232847
